"t
[s]","Io
[W/m2]","vo
[m/s]","To
[Â°C]","Tsky
[Â°C]","To_n
[Â°C]","CO2o_ppm
[ppm]","dayNR
[-]",RH           [%]
3600.0,0.0,1.0,-7.1,-14.3,-7.242,320.0,1.0,96.3
7200.0,0.0,0.5,-7.5,-14.7,-7.639,320.0,1.0,96.3
10800.0,0.0,1.0,-8.4,-12.4,-8.564,320.0,1.0,95.4
14400.0,0.0,1.5,-9.8,-17.0,-9.889,320.0,1.0,97.2
18000.0,0.0,1.5,-10.0,-17.2,-10.059,320.0,1.0,98.1
21600.0,0.0,1.5,-10.0,-17.2,-10.088,320.0,1.0,97.2
25200.0,0.0,1.5,-10.1,-17.3,-10.217,320.0,1.0,96.3
28800.0,0.0,3.0,-9.8,-13.8,-9.889,320.0,1.0,97.2
32400.0,19.44,1.5,-9.3,-13.3,-9.485,320.0,1.0,94.5
36000.0,80.56,2.5,-8.8,-12.8,-8.96,320.0,1.0,95.4
39600.0,91.67,3.5,-7.6,-11.6,-7.599,320.0,1.0,100.0
43200.0,80.56,3.0,-6.6,-10.6,-6.82,320.0,1.0,94.4
46800.0,33.33,3.5,-5.8,-9.8,-5.993,320.0,1.0,95.3
50400.0,33.33,4.0,-5.4,-9.4,-5.597,320.0,1.0,95.3
54000.0,33.33,4.0,-4.9,-8.9,-4.981,320.0,1.0,98.1
57600.0,8.33,3.5,-4.0,-8.0,-4.257,320.0,1.0,94.3
61200.0,0.0,3.5,-3.4,-7.4,-3.621,320.0,1.0,95.3
64800.0,0.0,2.0,-2.9,-6.9,-3.128,320.0,1.0,95.2
68400.0,0.0,2.5,-2.5,-6.5,-2.733,320.0,1.0,95.2
72000.0,0.0,1.5,-2.3,-6.3,-2.488,320.0,1.0,96.2
75600.0,0.0,2.0,-1.8,-5.8,-1.993,320.0,1.0,96.2
79200.0,0.0,1.5,-1.9,-5.9,-2.092,320.0,1.0,96.2
82800.0,0.0,2.0,-1.8,-5.8,-1.993,320.0,1.0,96.2
86400.0,0.0,2.0,-1.7,-5.7,-1.894,320.0,1.0,96.2
90000.0,0.0,2.5,-1.2,-5.2,-1.449,320.0,2.0,95.2
93600.0,0.0,2.0,-1.4,-5.4,-1.647,320.0,2.0,95.2
97200.0,0.0,1.5,-2.2,-9.4,-2.389,320.0,2.0,96.2
100800.0,0.0,1.5,-2.5,-9.7,-2.733,320.0,2.0,95.2
104400.0,0.0,1.0,-1.8,-9.0,-1.993,320.0,2.0,96.2
108000.0,0.0,1.0,-2.9,-13.3,-3.128,320.0,2.0,95.2
111600.0,0.0,1.0,-3.3,-13.7,-3.523,320.0,2.0,95.2
115200.0,2.78,1.0,-1.4,-11.8,-1.647,320.0,2.0,95.2
118800.0,2.78,1.0,0.2,-10.2,-0.131,320.0,2.0,94.1
122400.0,8.33,1.5,1.1,-2.9,0.806,320.0,2.0,94.9
126000.0,16.67,1.0,1.3,-2.7,1.004,320.0,2.0,94.9
129600.0,38.89,1.0,1.6,-3.4,1.36,320.0,2.0,96.0
133200.0,194.44,2.5,1.4,-3.6,1.102,320.0,2.0,94.9
136800.0,147.22,2.0,1.4,-3.6,0.922,320.0,2.0,91.9
140400.0,147.22,1.5,0.2,-8.0,-0.293,320.0,2.0,91.2
144000.0,8.33,1.5,-0.9,-12.3,-1.358,320.0,2.0,91.4
147600.0,0.0,2.0,-1.8,-16.4,-2.188,320.0,2.0,92.3
151200.0,0.0,2.0,-1.9,-16.5,-2.286,320.0,2.0,92.3
154800.0,0.0,1.5,-1.5,-16.1,-2.243,320.0,2.0,85.6
158400.0,0.0,2.0,-2.1,-19.9,-2.481,320.0,2.0,92.4
162000.0,0.0,2.5,-1.7,-19.5,-2.09,320.0,2.0,92.3
165600.0,0.0,1.5,-1.8,-19.6,-2.188,320.0,2.0,92.3
169200.0,0.0,2.5,-1.6,-19.4,-1.992,320.0,2.0,92.3
172800.0,0.0,2.5,-1.6,-19.4,-1.992,320.0,2.0,92.3
176400.0,0.0,2.5,-1.5,-19.3,-1.844,320.0,3.0,93.3
180000.0,0.0,2.5,-1.4,-19.2,-1.746,320.0,3.0,93.3
183600.0,0.0,3.0,-1.5,-5.5,-1.844,320.0,3.0,93.3
187200.0,0.0,2.0,-1.4,-5.4,-1.746,320.0,3.0,93.3
190800.0,0.0,2.0,-1.1,-5.1,-1.452,320.0,3.0,93.3
194400.0,0.0,1.5,-1.1,-5.1,-1.452,320.0,3.0,93.3
198000.0,0.0,1.5,-1.4,-5.4,-1.647,320.0,3.0,95.2
201600.0,0.0,1.5,-1.3,-5.3,-1.548,320.0,3.0,95.2
205200.0,8.33,1.0,-1.0,-5.0,-1.353,320.0,3.0,93.3
208800.0,33.33,1.0,-0.5,-4.5,-0.81,320.0,3.0,94.2
212400.0,55.56,1.5,-0.2,-4.2,-0.621,320.0,3.0,92.3
216000.0,66.67,2.5,-1.7,-5.7,-1.992,320.0,3.0,94.3
219600.0,66.67,2.5,-2.2,-6.2,-2.484,320.0,3.0,94.3
223200.0,19.44,1.5,-1.9,-5.9,-2.189,320.0,3.0,94.3
226800.0,8.33,3.5,-1.5,-5.5,-1.844,320.0,3.0,93.3
230400.0,8.33,3.5,-1.8,-5.8,-2.09,320.0,3.0,94.3
234000.0,0.0,3.0,-2.4,-9.6,-2.681,320.0,3.0,94.3
237600.0,0.0,2.5,-2.5,-9.7,-2.826,320.0,3.0,93.3
241200.0,0.0,2.0,-2.6,-6.6,-2.925,320.0,3.0,93.3
244800.0,0.0,2.0,-2.9,-6.9,-3.128,320.0,3.0,95.2
248400.0,0.0,4.5,-3.1,-7.1,-3.416,320.0,3.0,93.3
252000.0,0.0,3.5,-3.9,-11.1,-4.159,320.0,3.0,94.3
255600.0,0.0,2.5,-4.8,-15.2,-5.087,320.0,3.0,93.4
259200.0,0.0,3.0,-5.3,-15.7,-5.578,320.0,3.0,93.4
262800.0,0.0,2.5,-5.5,-15.9,-5.696,320.0,4.0,95.3
266400.0,0.0,2.0,-5.6,-16.0,-5.795,320.0,4.0,95.3
270000.0,0.0,1.0,-5.8,-16.2,-5.993,320.0,4.0,95.3
273600.0,0.0,1.0,-6.0,-16.4,-6.229,320.0,4.0,94.4
277200.0,0.0,1.5,-6.1,-16.5,-6.327,320.0,4.0,94.4
280800.0,0.0,1.5,-6.1,-16.5,-6.327,320.0,4.0,94.4
284400.0,0.0,1.5,-6.0,-16.4,-6.305,320.0,4.0,92.5
288000.0,0.0,1.0,-5.8,-16.2,-5.993,320.0,4.0,95.3
291600.0,19.44,1.0,-5.7,-16.1,-5.894,320.0,4.0,95.3
295200.0,33.33,1.5,-5.8,-9.8,-5.993,320.0,4.0,95.3
298800.0,91.67,2.0,-5.7,-9.7,-5.894,320.0,4.0,95.3
302400.0,127.78,1.5,-6.0,-10.0,-6.229,320.0,4.0,94.4
306000.0,80.56,2.0,-4.7,-8.7,-4.988,320.0,4.0,93.4
309600.0,66.67,2.0,-4.3,-8.3,-4.638,320.0,4.0,92.4
313200.0,33.33,3.0,-4.5,-8.5,-4.75,320.0,4.0,94.3
316800.0,8.33,2.5,-4.7,-8.7,-4.988,320.0,4.0,93.4
